"SubjectID" "Activity" "variable" "mean"
1 "LAYING" "tBodyAcc-mean()-X" 0.234780479395833
1 "LAYING" "tBodyAcc-mean()-Y" -0.0435622452041667
1 "LAYING" "tBodyAcc-mean()-Z" -0.0852008280416667
1 "LAYING" "tBodyAcc-std()-X" -0.928994429791667
1 "LAYING" "tBodyAcc-std()-Y" -0.827342672520833
1 "LAYING" "tBodyAcc-std()-Z" -0.871429010091667
1 "LAYING" "tGravityAcc-mean()-X" 0.0365652194791667
1 "LAYING" "tGravityAcc-mean()-Y" 0.52127522175
1 "LAYING" "tGravityAcc-mean()-Z" 0.546022695395833
1 "LAYING" "tGravityAcc-std()-X" -0.917001667291667
1 "LAYING" "tGravityAcc-std()-Y" -0.905886833916667
1 "LAYING" "tGravityAcc-std()-Z" -0.912486646458333
1 "LAYING" "tBodyAccJerk-mean()-X" 0.0750482509583333
1 "LAYING" "tBodyAccJerk-mean()-Y" 0.006415084668125
1 "LAYING" "tBodyAccJerk-mean()-Z" -0.00288108696291667
1 "LAYING" "tBodyAccJerk-std()-X" -0.94870194
1 "LAYING" "tBodyAccJerk-std()-Y" -0.916124908958333
1 "LAYING" "tBodyAccJerk-std()-Z" -0.955561061041667
1 "LAYING" "tBodyGyro-mean()-X" -0.0316356673395833
1 "LAYING" "tBodyGyro-mean()-Y" -0.070051469175
1 "LAYING" "tBodyGyro-mean()-Z" 0.111964238375
1 "LAYING" "tBodyGyro-std()-X" -0.893843550854167
1 "LAYING" "tBodyGyro-std()-Y" -0.941378405833333
1 "LAYING" "tBodyGyro-std()-Z" -0.916857421666667
1 "LAYING" "tBodyGyroJerk-mean()-X" -0.094924301375
1 "LAYING" "tBodyGyroJerk-mean()-Y" -0.0491678606770833
1 "LAYING" "tBodyGyroJerk-mean()-Z" -0.0638954874375
1 "LAYING" "tBodyGyroJerk-std()-X" -0.929536048333333
1 "LAYING" "tBodyGyroJerk-std()-Y" -0.963843327708333
1 "LAYING" "tBodyGyroJerk-std()-Z" -0.958927424791667
1 "LAYING" "tBodyAccMag-mean()" -0.864958041729167
1 "LAYING" "tBodyAccMag-std()" -0.833238089208333
1 "LAYING" "tGravityAccMag-mean()" -0.864958041729167
1 "LAYING" "tGravityAccMag-std()" -0.833238089208333
1 "LAYING" "tBodyAccJerkMag-mean()" -0.947081536458333
1 "LAYING" "tBodyAccJerkMag-std()" -0.92276978375
1 "LAYING" "tBodyGyroMag-mean()" -0.873495145229167
1 "LAYING" "tBodyGyroMag-std()" -0.84319909625
1 "LAYING" "tBodyGyroJerkMag-mean()" -0.96178161875
1 "LAYING" "tBodyGyroJerkMag-std()" -0.94253927125
1 "LAYING" "fBodyAcc-mean()-X" -0.934417339583333
1 "LAYING" "fBodyAcc-mean()-Y" -0.8593074964375
1 "LAYING" "fBodyAcc-mean()-Z" -0.903542417291667
1 "LAYING" "fBodyAcc-std()-X" -0.927417260208333
1 "LAYING" "fBodyAcc-std()-Y" -0.823735870520833
1 "LAYING" "fBodyAcc-std()-Z" -0.865286228979167
1 "LAYING" "fBodyAcc-meanFreq()-X" -0.09185665741875
1 "LAYING" "fBodyAcc-meanFreq()-Y" 0.145255435104167
1 "LAYING" "fBodyAcc-meanFreq()-Z" 0.254266610791667
1 "LAYING" "fBodyAccJerk-mean()-X" -0.948536226458333
1 "LAYING" "fBodyAccJerk-mean()-Y" -0.916789154791667
1 "LAYING" "fBodyAccJerk-mean()-Z" -0.948672921875
1 "LAYING" "fBodyAccJerk-std()-X" -0.953681771041667
1 "LAYING" "fBodyAccJerk-std()-Y" -0.921961136041667
1 "LAYING" "fBodyAccJerk-std()-Z" -0.961312432708333
1 "LAYING" "fBodyAccJerk-meanFreq()-X" 0.147338272666667
1 "LAYING" "fBodyAccJerk-meanFreq()-Y" 0.0303496244541667
1 "LAYING" "fBodyAccJerk-meanFreq()-Z" 0.10727336875
1 "LAYING" "fBodyGyro-mean()-X" -0.872213128964583
1 "LAYING" "fBodyGyro-mean()-Y" -0.945145110208333
1 "LAYING" "fBodyGyro-mean()-Z" -0.91676453625
1 "LAYING" "fBodyGyro-std()-X" -0.901505578125
1 "LAYING" "fBodyGyro-std()-Y" -0.939723345416667
1 "LAYING" "fBodyGyro-std()-Z" -0.92493634875
1 "LAYING" "fBodyGyro-meanFreq()-X" 0.131303388828333
1 "LAYING" "fBodyGyro-meanFreq()-Y" -0.0202402846270833
1 "LAYING" "fBodyGyro-meanFreq()-Z" 0.0540001472083333
1 "LAYING" "fBodyAccMag-mean()" -0.877738054895833
1 "LAYING" "fBodyAccMag-std()" -0.840027698041667
1 "LAYING" "fBodyAccMag-meanFreq()" 0.279076733104167
1 "LAYING" "fBodyBodyAccJerkMag-mean()" -0.926791018958333
1 "LAYING" "fBodyBodyAccJerkMag-std()" -0.917639425833333
1 "LAYING" "fBodyBodyAccJerkMag-meanFreq()" 0.296936656604167
1 "LAYING" "fBodyBodyGyroMag-mean()" -0.877545593958333
1 "LAYING" "fBodyBodyGyroMag-std()" -0.849235914375
1 "LAYING" "fBodyBodyGyroMag-meanFreq()" 0.0081180053325
1 "LAYING" "fBodyBodyGyroJerkMag-mean()" -0.948575951041667
1 "LAYING" "fBodyBodyGyroJerkMag-std()" -0.939418782291667
1 "LAYING" "fBodyBodyGyroJerkMag-meanFreq()" 0.197820911229167
1 "SITTING" "tBodyAcc-mean()-X" 0.272804726269841
1 "SITTING" "tBodyAcc-mean()-Y" -0.0085422178084127
1 "SITTING" "tBodyAcc-mean()-Z" -0.103644531190476
1 "SITTING" "tBodyAcc-std()-X" -0.704176637666667
1 "SITTING" "tBodyAcc-std()-Y" -0.69735740115873
